t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
0.96, 1073, 144, 2.3109167067316134, 62.507999999999996, 0.00412269918223704
0.97, 1073, 145, 2.3142723921125046, 62.507999999999996, 0.00412269918223704
0.98, 1072, 145, 2.3172445705927216, 62.507999999999996, 0.004026822457068737
1.01, 1071, 147, 2.326640489659215, 62.507999999999996, 0.003930945731900433
1.02, 1071, 147, 2.3304755586659476, 62.507999999999996, 0.0038350690067321305
1.03, 1070, 148, 2.334118874222343, 62.507999999999996, 0.0038350690067321305
1.04, 1070, 148, 2.336995175977392, 62.507999999999996, 0.003739192281563827
1.05, 1069, 148, 2.339487970831768, 62.507999999999996, 0.003643315556395524
1.06, 1069, 149, 2.3418848889609754, 62.507999999999996, 0.003739192281563827
1.07, 1069, 149, 2.344185930365015, 62.507999999999996, 0.003643315556395524
1.08, 1068, 150, 2.3472539855704007, 62.507999999999996, 0.003643315556395524
1.1, 1067, 151, 2.3532942192560036, 62.507999999999996, 0.003643315556395524
1.12, 1066, 152, 2.3589509460409337, 62.507999999999996, 0.003547438831227221
1.13, 1066, 152, 2.3610602339946363, 62.507999999999996, 0.0034515621060589178
1.1400000000000001, 1065, 152, 2.3633612753986757, 62.507999999999996, 0.0033556853808906144
1.17, 1064, 154, 2.3713190435876443, 62.507999999999996, 0.0034515621060589178
1.19, 1063, 155, 2.3760170031208916, 62.507999999999996, 0.0034515621060589178
1.2, 1063, 155, 2.3779345376242578, 62.507999999999996, 0.0033556853808906144
1.21, 1062, 155, 2.3790850583262775, 62.507999999999996, 0.0033556853808906144
1.22, 1062, 156, 2.3805232092038016, 62.507999999999996, 0.0034515621060589178
1.24, 1061, 157, 2.385604675637722, 62.507999999999996, 0.0034515621060589178
1.25, 1061, 157, 2.3884809773927707, 62.507999999999996, 0.0033556853808906144
1.26, 1060, 158, 2.391549032598157, 62.507999999999996, 0.0033556853808906144
1.27, 1060, 158, 2.3945212110783745, 62.507999999999996, 0.0032598086557223114
1.28, 1059, 158, 2.3970140059327503, 62.507999999999996, 0.003163931930554008
1.32, 1057, 160, 2.405642911197897, 62.507999999999996, 0.0032598086557223114
1.33, 1057, 161, 2.4085192129529465, 62.507999999999996, 0.0032598086557223114
1.34, 1056, 161, 2.411203761257659, 62.507999999999996, 0.0030680552053857046
1.35, 1056, 161, 2.413025419035857, 62.507999999999996, 0.0029721784802174012
1.3599999999999999, 1055, 162, 2.414751200088886, 62.507999999999996, 0.0029721784802174012
1.38, 1055, 163, 2.41906565272146, 62.507999999999996, 0.0029721784802174012
1.3900000000000001, 1054, 163, 2.4220378312016773, 62.507999999999996, 0.0026845483047124915
1.4, 1054, 163, 2.424530626056053, 62.507999999999996, 0.002588671579544188
1.42, 1053, 164, 2.428269818337617, 62.507999999999996, 0.002492794854375885
1.45, 1051, 165, 2.432871901145695, 62.507999999999996, 0.002205164678870975
1.46, 1051, 166, 2.4345018054735563, 62.507999999999996, 0.0023010414040392784
1.47, 1050, 166, 2.436419339976923, 62.507999999999996, 0.0021092879537026716
1.5, 1049, 167, 2.441596683136011, 62.507999999999996, 0.0019175345033660652
1.51, 1048, 168, 2.4426513271128623, 62.507999999999996, 0.0019175345033660652
1.52, 1048, 168, 2.443514217639377, 62.507999999999996, 0.0019175345033660652
1.53, 1047, 169, 2.444281231440723, 62.507999999999996, 0.0019175345033660652
1.55, 1046, 169, 2.447924546997119, 62.507999999999996, 0.0016299043278611557
1.5699999999999998, 1046, 170, 2.4511843556528414, 62.507999999999996, 0.0017257810530294589
1.58, 1045, 171, 2.452430753080029, 62.507999999999996, 0.0016299043278611557
1.5899999999999999, 1045, 171, 2.4531018901562076, 62.507999999999996, 0.0016299043278611557
1.6, 1044, 171, 2.454156534133059, 62.507999999999996, 0.001438150877524549
1.62, 1043, 172, 2.4567452057126027, 62.507999999999996, 0.001438150877524549
1.6600000000000001, 1041, 174, 2.4629771928485424, 62.507999999999996, 0.0012463974271879426
1.67, 1041, 174, 2.463360699749216, 62.507999999999996, 0.0012463974271879426
1.6800000000000002, 1040, 175, 2.4635524531995525, 62.507999999999996, 0.0012463974271879426
1.7, 1039, 175, 2.464319467000899, 62.507999999999996, 0.0010546439768513358
1.71, 1039, 176, 2.464702973901572, 62.507999999999996, 0.0012463974271879426
1.72, 1038, 176, 2.465565864428087, 62.507999999999996, 0.0010546439768513358
