t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
25.3, 170, -1, 0.011888713920869605, 62.507999999999996, -0.00019175345033660654
25.4, 176, -1, 0.010354686318176752, 62.507999999999996, 0.0
25.5, 182, -1, 0.01054643976851336, 62.507999999999996, 0.0
25.6, 188, -1, 0.010450563043345054, 62.507999999999996, 0.0
25.7, 194, -1, 0.010834069944018268, 62.507999999999996, 0.0
25.8, 201, -1, 0.011217576844691482, 62.507999999999996, 0.0
25.9, 207, -1, 0.010738193218849966, 62.507999999999996, 0.0
26.0, 213, -1, 0.010354686318176752, 62.507999999999996, 0.0
26.1, 219, -1, 0.010354686318176752, 62.507999999999996, 0.0
26.2, 226, -1, 0.010450563043345054, 62.507999999999996, 0.0
26.3, 232, -1, 0.010834069944018268, 62.507999999999996, 9.587672516830327e-05
26.4, 238, -1, 0.011409330295028088, 62.507999999999996, 9.587672516830327e-05
26.5, 244, -1, 0.011792837195701301, 62.507999999999996, 9.587672516830327e-05
26.6, 250, -1, 0.011792837195701301, 62.507999999999996, 9.587672516830327e-05
26.7, 257, 0, 0.012272220821542819, 62.507999999999996, -0.00019175345033660654
26.8, 263, 0, 0.011313453569859785, 62.507999999999996, -0.00019175345033660654
26.9, 269, 0, 0.010354686318176752, 62.507999999999996, -9.587672516830327e-05
27.0, 275, 0, 0.010258809593008449, 62.19546, -9.587672516830327e-05
27.2, 286, 0, 0.010258809593008449, 34.691939999999995, 0.0
27.3, 289, 0, 0.009779425967166933, 27.19098, 0.0
27.4, 292, 0, 0.010162932867840146, 19.69002, 0.0
27.6, 295, 0, 0.011025823394354876, 12.18906, 0.0
27.7, 295, 0, 0.011696960470532999, 62.507999999999996, 0.09491795791662024
27.8, 295, 0, 0.14314395067627678, 62.507999999999996, 0.08676843627731445
27.9, 295, 0, 0.39453272406756795, 62.507999999999996, 0.07104465334971273
28.0, 295, 0, 0.6864773522050515, 62.507999999999996, 0.052732198842566795
28.1, 296, 1, 0.9531105248981028, 62.507999999999996, 0.03662490901429185
28.2, 298, 5, 1.1590537305596182, 62.507999999999996, 0.02473619509342224
28.3, 300, 10, 1.3084296683718348, 62.507999999999996, 0.01639492000377986
28.4, 301, 16, 1.4192631626663932, 62.507999999999996, 0.009875302692335235
28.5, 302, 21, 1.4897325556650962, 62.507999999999996, 0.006040233685603106
28.6, 302, 27, 1.5321100681894861, 62.507999999999996, 0.0033556853808906144
28.7, 302, 33, 1.5579009072597598, 62.507999999999996, 0.0017257810530294589
28.8, 302, 40, 1.5740081970880346, 62.507999999999996, 0.0007670138013464262
28.9, 302, 46, 1.5793772936974597, 62.507999999999996, 0.0003835069006732131
29.0, 302, 52, 1.5831164859790234, 62.507999999999996, 0.00019175345033660654
29.1, 302, 58, 1.5845546368565482, 62.507999999999996, 9.587672516830327e-05
29.2, 302, 64, 1.5849381437572214, 62.507999999999996, 9.587672516830327e-05
29.3, 302, 71, 1.5859927877340725, 62.507999999999996, 0.0
29.4, 302, 77, 1.585513404108231, 62.507999999999996, 0.0
29.5, 302, 83, 1.5857051575585677, 62.507999999999996, 0.0
29.6, 302, 89, 1.585513404108231, 62.507999999999996, 0.0
29.7, 302, 95, 1.5856092808333995, 62.507999999999996, 0.0
29.8, 302, 102, 1.585801034283736, 62.507999999999996, 0.0
29.9, 302, 108, 1.5861845411844093, 62.507999999999996, 0.0
30.1, 302, 120, 1.5863762946347457, 62.507999999999996, 0.0
30.2, 302, 127, 1.5858969110089045, 62.507999999999996, 0.0
30.3, 302, 133, 1.586088664459241, 62.507999999999996, 0.0
30.4, 302, 139, 1.5861845411844093, 62.507999999999996, 0.0
30.5, 302, 145, 1.5861845411844093, 62.507999999999996, 0.0
30.6, 302, 151, 1.5862804179095775, 62.507999999999996, 0.0
30.7, 301, 158, 1.5871433084360924, 62.507999999999996, -0.0004793836258415163
30.8, 301, 164, 1.5827329790783502, 62.507999999999996, -0.00019175345033660654
30.9, 301, 170, 1.5820618420021721, 62.507999999999996, -0.00019175345033660654
31.0, 301, 176, 1.5811989514756575, 62.507999999999996, 0.0
31.1, 301, 183, 1.5811989514756575, 62.507999999999996, 0.0
31.2, 301, 189, 1.5816783351014991, 62.507999999999996, 0.0
31.3, 301, 195, 1.581774211826667, 62.507999999999996, 0.0
31.4, 301, 201, 1.5814865816511623, 62.507999999999996, 0.0
31.5, 301, 207, 1.5815824583763307, 62.507999999999996, 0.0
31.6, 301, 214, 1.581774211826667, 62.507999999999996, 0.0
31.8, 301, 226, 1.5811989514756575, 62.507999999999996, 9.587672516830327e-05
31.9, 301, 232, 1.5815824583763307, 62.507999999999996, 9.587672516830327e-05
32.0, 301, 239, 1.5824453489028454, 62.507999999999996, 9.587672516830327e-05
32.1, 301, 245, 1.582637102353182, 62.507999999999996, 9.587672516830327e-05
32.2, 300, 251, 1.5837876230552017, 62.507999999999996, -0.0002876301755049098
32.3, 300, 257, 1.5825412256280138, 62.507999999999996, -0.00019175345033660654
32.4, 300, 263, 1.581294828200826, 62.507999999999996, -9.587672516830327e-05
32.5, 300, 270, 1.5809113213001527, 62.507999999999996, -9.587672516830327e-05
32.6, 300, 276, 1.5806236911246476, 59.695139999999995, -9.587672516830327e-05
32.7, 300, 282, 1.577555635919262, 44.69322, 0.0
32.8, 300, 286, 1.5814865816511623, 34.691939999999995, 0.0
33.0, 300, 292, 1.580719567849816, 19.69002, 0.0
33.1, 300, 294, 1.5822535954525088, 14.68938, 0.0
33.2, 300, 295, 1.5809113213001527, 12.18906, 0.0
33.3, 300, 295, 1.5809113213001527, 62.507999999999996, 0.09501383464178853
33.4, 300, 295, 1.6903066647171865, 62.507999999999996, 0.088206587154839
33.5, 300, 295, 1.9400655337806165, 62.507999999999996, 0.07257868095240558
33.6, 300, 295, 2.23709162835202, 62.507999999999996, 0.05407447299492304
33.7, 299, 296, 2.4975886906343, 62.507999999999996, 0.038254813342153
33.8, 295, 298, 2.714078336064329, 62.507999999999996, 0.025694962345105276
33.9, 290, 300, 2.8713161653403465, 62.507999999999996, 0.016874303629621373
34.0, 285, 301, 2.9830125501614195, 62.507999999999996, 0.010354686318176752
34.1, 279, 302, 3.0576046423423593, 62.507999999999996, 0.006231987135939712
34.2, 273, 302, 3.1046801143999962, 62.507999999999996, 0.0032598086557223114
34.3, 267, 302, 3.1297998163940917, 62.507999999999996, 0.0017257810530294589
34.4, 261, 302, -3.1391957354605857, 62.507999999999996, 0.0007670138013464262
34.5, 255, 302, -3.132676118149141, 62.507999999999996, 0.0003835069006732131
34.6, 249, 302, -3.1280740353410623, 62.507999999999996, 9.587672516830327e-05
34.7, 242, 302, -3.127307021539716, 62.507999999999996, 0.0
34.8, 240, 302, -3.1239513361588256, 62.507999999999996, -9.587672516830327e-05
34.9, 240, 302, -3.1239513361588256, 62.507999999999996, -9.587672516830327e-05
35.0, 240, 302, -3.125101856860845, 62.507999999999996, 0.0
35.1, 240, 302, 3.1160894446950245, 62.507999999999996, 0.002492794854375885
35.2, 240, 302, 3.0632613691272894, 62.507999999999996, 0.0058484802352664995
35.3, 240, 302, 3.0048724434997927, 62.507999999999996, 0.009491795791662025
35.4, 240, 302, 2.9428402023159004, 62.507999999999996, 0.013326864798394154
35.5, 240, 302, 2.8793698102544836, 62.507999999999996, 0.01735368725546289
35.6, 240, 302, 2.8152282811168887, 62.507999999999996, 0.02138050971253163
35.7, 240, 302, 2.7505114916282842, 62.507999999999996, 0.025407332169600366
35.8, 240, 302, 2.6853153185138376, 62.507999999999996, 0.029434154626669103
35.9, 240, 302, 2.620023268674223, 62.507999999999996, 0.03355685380890614
36.0, 240, 302, 2.555402355910787, 62.507999999999996, 0.03758367626597488
36.1, 240, 302, 2.4903979362466773, 62.507999999999996, 0.041610498723043614
36.2, 240, 302, 2.4251058864070627, 62.507999999999996, 0.04573319790528066
36.3, 240, 302, 2.3601973434681214, 62.507999999999996, 0.049760020362349396
36.4, 240, 302, 2.29528880052918, 62.507999999999996, 0.053882719544586434
36.5, 240, 302, 2.230092627414734, 62.507999999999996, 0.05790954200165517
36.6, 240, 302, 2.1657593448268027, 62.507999999999996, 0.06193636445872391
36.7, 240, 302, 2.100467294987188, 62.507999999999996, 0.06605906364096094
36.8, 240, 302, 2.035654628773415, 62.507999999999996, 0.0700858860980297
36.9, 240, 302, 1.969883195307959, 62.507999999999996, 0.07420858528026673
37.0, 240, 302, 1.940832547581963, 62.507999999999996, 0.0760302430584645
37.1, 240, 302, 1.940832547581963, 62.507999999999996, 0.0760302430584645
37.2, 240, 302, 1.940832547581963, 62.507999999999996, 0.041610498723043614
37.3, 239, 303, 1.9399696570554483, 62.507999999999996, 0.0
37.4, 237, 308, 1.940832547581963, 62.507999999999996, 0.0
37.5, 235, 313, 1.93987378033028, 62.507999999999996, 0.0
37.6, 233, 319, 1.9387232596282604, 62.507999999999996, 0.0
37.7, 231, 325, 1.940161410505785, 62.507999999999996, 9.587672516830327e-05
37.8, 229, 330, 1.9399696570554483, 62.507999999999996, 9.587672516830327e-05
37.9, 227, 336, 1.9405449174064582, 62.507999999999996, 0.00019175345033660654
38.0, 224, 342, 1.9409284243071314, 62.507999999999996, 0.0
38.1, 222, 348, 1.9412160544826362, 62.507999999999996, 0.0
38.2, 220, 354, 1.9414078079329729, 62.507999999999996, 0.00019175345033660654
38.3, 218, 359, 1.942078945009151, 62.507999999999996, 9.587672516830327e-05
38.4, 215, 365, 1.9418871915588145, 62.507999999999996, 0.0
38.5, 213, 371, 1.941791314833646, 62.507999999999996, 0.0
38.6, 211, 377, 1.942750082085329, 62.507999999999996, 0.00019175345033660654
38.7, 209, 383, 1.9434212191615072, 54.38196, 0.0002876301755049098
38.8, 207, 388, 1.9426542053601608, 41.880359999999996, 0.0002876301755049098
38.9, 205, 392, 1.9426542053601608, 32.19162, 9.587672516830327e-05
39.0, 204, 395, 1.9434212191615072, 21.8778, 9.587672516830327e-05
39.1, 203, 397, 1.9439964795125169, 17.1897, 9.587672516830327e-05
39.4, 202, 400, 1.991743088646332, 9.68874, 0.0
39.5, 202, 400, 2.0464886987174333, 9.68874, 0.0
39.6, 201, 401, 2.105836391596613, 6.8758799999999995, -0.0002876301755049098
39.7, 201, 401, 2.1676768793301684, 6.563339999999999, -0.0003835069006732131
